GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2942,104,2454,185,488,186
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3,4,3,4,0,12
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1851,122,1585,146,266,123
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2602,99,2544,124,58,73
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",723,28,645,54,78,47
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2151,104,1971,131,180,114
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1793,37,1559,100,234,100
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2341,53,2170,108,171,94
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3649,94,3370,144,279,150
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2477,105,2147,195,330,172
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3022,86,2883,127,139,123
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1414,57,1342,81,72,60
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1641,53,1580,84,61,69
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",905,28,878,45,27,31
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2840,92,2823,90,17,28
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",2212,96,1975,116,237,123
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",2296,53,2138,120,158,114
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2639,68,2512,127,127,119
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",2090,88,1920,138,170,112
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",5107,213,4538,380,569,289
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1496,36,1455,51,41,46
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1583,92,1537,100,46,49
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2163,50,2029,109,134,93
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1711,47,1550,83,161,74
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1415,39,1388,58,27,44
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1705,64,1580,100,125,75
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",2215,106,2105,121,110,80
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1639,38,1408,114,231,99
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",853,49,816,56,37,35
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",1101,40,1019,62,82,45
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1464,54,1350,84,114,73
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",2327,76,2091,160,236,135
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",2304,58,2116,107,188,94
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1161,69,1121,84,40,52
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",1488,50,1286,107,202,94
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",1238,46,1153,79,85,61
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1011,113,779,114,232,79
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",1489,30,1378,75,111,69
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",1118,35,1095,53,23,37
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",2618,90,2467,143,151,107
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",1035,29,983,56,52,45
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2894,109,2780,145,114,105
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",2440,110,2394,117,46,56
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1824,84,1653,108,171,91
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",2103,90,1997,106,106,70
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",1690,58,1551,90,139,73
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",1595,56,1440,85,155,72
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",1293,51,1188,77,105,61
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1939,62,1658,127,281,117
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",1709,52,1566,91,143,66
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",1009,47,869,79,140,66
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1442,46,1163,106,279,92
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",1218,44,1194,56,24,27
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",2355,80,2124,146,231,152
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",2769,106,2549,150,220,127
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2867,141,2727,147,140,122
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2919,120,2652,197,267,159
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2416,52,2219,106,197,96
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1941,55,1825,106,116,95
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1709,59,1460,122,249,110
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2157,90,2157,90,0,12
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1822,74,1637,117,185,94
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",2199,69,2049,118,150,97
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2843,91,2764,107,79,77
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1427,62,1270,96,157,86
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",2679,84,2430,156,249,139
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1618,47,1540,62,78,49
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",1254,75,1123,103,131,75
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1903,56,1757,115,146,99
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1294,46,1215,65,79,51
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1544,83,1436,105,108,71
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",1012,34,945,52,67,43
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3754,116,3546,167,208,130
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4441,113,3954,251,487,244
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3671,109,3363,184,308,179
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",4784,204,4265,304,519,254
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",4105,175,3342,265,763,243
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",2375,107,1769,145,606,150
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1577,65,1336,92,241,92
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",39,64,39,64,0,12
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",1286,30,1126,95,160,88
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1493,56,1131,115,362,119
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1124,49,935,85,189,92
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1925,54,1802,77,123,66
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",1000,40,930,62,70,44
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",1059,39,1013,59,46,38
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",16,23,16,23,0,12
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1261,39,1168,67,93,64
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1227,70,1137,98,90,73
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1409,34,1356,61,53,53
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",2613,62,2482,87,131,75
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",1442,49,1211,97,231,82
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1418,55,1203,89,215,85
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",1110,26,908,62,202,55
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1195,45,1090,78,105,64
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1432,58,1186,101,246,81
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",1132,43,900,98,232,90
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1445,36,1294,79,151,65
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1327,38,1102,93,225,81
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1667,33,1545,71,122,59
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",2040,48,1808,101,232,84
