GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2454,185,167188,20715,93.1,3.9,170046,28675,1.5,1.8,-,**,0.0,1.3,-,**,4.4,3.0,178843,67011,0.0,1.3,-,**,1.0,1.5,-,**,0.0,1.3,-,**,6.6,4.1,-,**,87.4,5.2,172581,34532,6.0,3.8,103644,53466,43.0,6.0,157663,38789,31.0,5.9,207313,25672,20.0,4.9,199083,84320,1096,166,242931,38520,38.4,8.8,"250,000+",***,61.6,8.8,228897,34911,94.3,7.0,"250,000+",***,5.7,7.0,-,**,0.0,2.9,-,**,1358,198,103611,11925,54.1,9.3,106136,34268,39.9,10.6,74333,51252,14.1,7.0,145208,60266,45.9,9.3,101210,17020,34.1,9.7,100363,24283,11.9,6.1,103550,71778,29.1,(X),(X),(X),25.0,(X),(X),(X),32.3,(X),(X),(X)
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3,4,-,**,100.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,100.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,100.0,100.0,-,**,3,4,-,**,0.0,100.0,-,**,100.0,100.0,-,**,100.0,100.0,-,**,0.0,100.0,-,**,0.0,100.0,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0.0,(X),(X),(X),0.0,(X),(X),(X),-,(X),(X),(X)
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1585,146,161378,21166,92.4,4.7,162188,22985,2.8,3.5,-,**,0.0,2.0,-,**,3.6,2.5,-,**,0.0,2.0,-,**,0.0,2.0,-,**,1.3,1.5,-,**,9.3,5.1,167750,166663,83.4,6.2,161771,22823,14.4,5.7,26289,24062,29.7,5.9,182031,70200,29.8,5.6,191250,34126,26.0,4.8,171389,65182,647,95,209219,40257,34.3,7.8,206959,43814,65.7,7.8,216964,59590,83.6,7.6,223854,48494,10.4,6.7,-,**,6.0,4.9,"250,000+",***,938,148,88750,43743,55.4,9.2,102500,40364,40.3,9.0,89250,37633,15.1,6.6,135625,73025,44.6,9.2,-,**,30.0,10.1,-,**,14.6,7.3,-,**,25.2,(X),(X),(X),19.6,(X),(X),(X),28.3,(X),(X),(X)
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2544,124,131127,13777,86.2,5.4,135058,13889,4.9,4.0,-,**,0.0,1.3,-,**,6.5,3.8,122813,71083,0.0,1.3,-,**,0.0,1.3,-,**,2.4,1.8,-,**,4.2,2.8,136912,88449,82.7,5.8,132034,14771,10.6,3.8,-,**,49.6,5.5,130875,31078,25.2,4.9,200167,67335,14.6,3.1,115882,32506,902,150,209079,26523,52.5,9.9,203750,21113,47.5,9.9,224250,60099,87.6,7.2,221111,33056,10.8,7.1,157986,52282,1.7,2.5,-,**,1642,182,92717,14353,70.5,6.7,88250,11529,47.7,8.4,84464,14000,22.8,6.1,93036,41876,29.5,6.7,114353,59436,17.2,6.7,122721,107822,12.3,5.1,-,**,29.0,(X),(X),(X),21.3,(X),(X),(X),32.3,(X),(X),(X)
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",645,54,181406,47481,82.5,7.9,186500,40042,3.4,3.4,"250,000+",***,0.0,4.9,-,**,4.3,3.3,65000,54320,0.0,4.9,-,**,4.3,5.2,-,**,5.4,4.5,-,**,19.4,9.5,209028,89424,67.4,10.7,186750,67133,0.6,1.0,-,**,30.2,7.2,110417,38162,43.7,7.6,"250,000+",***,25.4,5.2,177500,76027,357,54,"250,000+",***,36.4,7.3,"250,000+",***,63.6,7.3,"250,000+",***,88.2,7.8,"250,000+",***,9.2,7.5,-,**,2.5,2.8,-,**,288,68,88750,34764,60.4,14.1,80476,29461,52.1,13.2,80476,50178,8.3,5.7,-,**,39.6,14.1,110463,19523,24.3,11.9,96000,77966,15.3,12.7,111705,93862,36.3,(X),(X),(X),26.1,(X),(X),(X),35.4,(X),(X),(X)
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1971,131,102398,9918,86.7,4.9,106115,17254,2.9,2.6,-,**,2.1,2.3,-,**,5.8,3.2,80833,57757,0.0,1.6,-,**,1.7,2.1,-,**,0.8,1.3,-,**,11.1,5.9,54432,25368,78.8,6.7,111642,30982,6.5,3.6,-,**,57.3,7.8,106149,10371,25.4,6.3,-,**,10.7,3.3,"250,000+",***,638,115,175000,83257,38.9,10.4,112283,107608,61.1,10.4,"250,000+",***,76.8,12.2,221500,106549,17.7,10.7,-,**,5.5,6.1,-,**,1333,153,85917,17996,55.3,8.3,84063,31011,39.2,6.9,70765,19962,16.1,7.1,111731,31688,44.7,8.3,90455,27632,36.7,8.7,80804,33075,8.0,6.0,121763,44401,20.6,(X),(X),(X),31.7,(X),(X),(X),13.5,(X),(X),(X)
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1559,100,119650,16003,85.2,5.5,133011,11192,5.1,3.8,81326,5431,0.5,0.8,-,**,4.6,2.8,-,**,0.0,2.1,-,**,1.2,1.1,-,**,3.5,2.1,66875,22318,13.3,4.9,82163,33362,77.4,5.9,134034,11594,2.9,1.8,81875,67912,42.1,5.0,127895,14702,31.9,4.4,144539,49990,23.2,3.7,103906,30377,542,62,"250,000+",***,40.4,6.2,"250,000+",***,59.6,6.2,241023,69619,92.8,5.2,"250,000+",***,2.8,3.2,-,**,4.4,4.0,81875,21849,1017,115,100964,21546,59.6,8.1,83929,31138,45.7,8.4,75050,17740,13.9,5.1,123594,13776,40.4,8.1,109375,46787,25.2,7.0,80985,5591,15.2,5.4,162708,36562,25.0,(X),(X),(X),28.0,(X),(X),(X),23.3,(X),(X),(X)
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2170,108,203529,61725,86.5,5.7,204559,48888,6.9,5.3,"250,000+",***,0.0,1.5,-,**,4.3,2.9,74605,46007,0.0,1.5,-,**,0.8,1.3,-,**,1.5,2.3,-,**,9.8,5.2,"250,000+",***,80.3,6.6,198558,63369,2.2,2.2,4038,701,35.9,5.4,178750,77181,40.7,5.2,"250,000+",***,21.2,3.7,160139,77223,1065,130,"250,000+",***,38.2,7.4,"250,000+",***,61.8,7.4,"250,000+",***,88.5,6.9,"250,000+",***,10.1,6.4,100735,75561,1.3,2.1,-,**,1105,166,115625,27292,57.4,11.0,110000,30490,46.5,11.0,106190,24821,10.9,7.5,158382,14901,42.6,11.0,126328,87458,28.2,10.8,113722,14595,14.4,9.0,"250,000+",***,21.4,(X),(X),(X),25.3,(X),(X),(X),17.0,(X),(X),(X)
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3370,144,82054,7909,80.5,5.7,88310,16627,6.4,4.3,-,**,0.8,1.2,-,**,5.1,3.0,52543,35916,0.0,1.0,-,**,3.0,3.2,-,**,4.2,2.6,76964,44216,4.8,3.4,121178,40622,79.1,5.8,89444,21612,5.2,2.6,-,**,32.6,5.5,80280,25303,26.7,4.8,120591,14584,35.5,4.0,82333,44272,1043,206,130208,25497,35.1,9.7,125102,94620,64.9,9.7,137383,72056,91.0,6.2,136445,49540,7.9,6.3,-,**,1.2,1.8,-,**,2327,226,63570,8853,70.7,6.8,76779,11203,64.2,7.2,75817,11371,6.4,3.8,-,**,29.3,6.8,41934,14815,26.7,6.8,41958,14046,2.6,2.3,-,**,17.1,(X),(X),(X),15.8,(X),(X),(X),17.7,(X),(X),(X)
