GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",5005,401,4535,375,4199,386,53,64,0,17,199,93,0,17,0,17,84,89,0,17,84,89,470,210,446,208,0,17,0,17,0,17,0,17,24,38,0,17,0,17,0,17
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3733,361,3323,361,2293,354,287,106,0,12,557,163,0,12,0,12,186,112,18,29,168,112,410,121,314,98,22,29,0,12,17,38,0,12,23,33,34,39,18,42,16,26
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4417,556,4128,539,3414,428,341,300,10,21,242,83,0,12,0,12,121,100,8,19,113,98,289,140,245,126,0,12,0,12,24,43,0,12,20,29,0,12,0,12,0,12
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",6139,632,5840,613,4841,472,413,363,0,17,444,234,0,17,0,17,142,112,87,102,55,48,299,186,233,171,0,17,18,28,0,17,0,17,0,17,48,74,0,17,48,74
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1607,159,1331,158,1033,154,67,45,0,12,149,88,0,12,0,12,82,55,0,12,82,55,276,136,236,107,12,17,0,12,0,12,0,12,28,34,0,12,0,12,0,12
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3481,286,2945,318,2573,311,93,49,62,75,146,68,0,12,0,12,71,69,0,12,71,69,536,288,324,162,15,26,0,12,0,12,0,12,165,186,32,35,32,35,0,12
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3045,195,2645,212,2330,235,77,51,0,12,158,81,0,12,0,12,80,40,0,12,80,40,400,128,282,120,26,41,16,26,8,13,0,12,34,31,34,29,13,19,21,23
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4848,317,4039,352,3433,328,272,128,0,12,232,137,0,12,7,17,95,89,0,12,95,89,809,338,584,340,134,111,0,12,0,12,0,12,39,65,52,85,52,85,0,12
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5325,489,5136,501,4223,508,349,240,27,40,247,174,0,17,0,17,290,212,19,31,271,210,189,133,75,81,0,17,0,17,0,17,0,17,100,108,14,22,14,22,0,17
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3356,331,3006,349,2314,331,283,149,0,12,246,103,0,12,61,41,102,89,20,31,82,85,350,164,259,164,0,12,20,32,0,12,0,12,43,50,28,32,17,27,11,17
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6740,599,6131,505,5086,471,464,298,0,17,317,127,0,17,12,19,252,123,21,27,231,120,609,227,303,150,0,17,24,34,9,20,0,17,205,139,68,67,0,17,68,67
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3213,350,2789,321,2208,331,206,122,0,12,295,148,0,12,0,12,80,60,39,42,41,39,424,184,317,157,38,62,0,12,0,12,0,12,38,34,31,27,0,12,31,27
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",7698,414,6715,448,5301,405,606,272,0,17,547,160,0,17,10,24,251,108,18,29,233,111,983,229,761,194,31,32,9,14,0,17,0,17,125,93,57,58,8,14,49,56
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2467,182,2097,172,1809,174,82,56,0,12,86,46,0,12,23,36,97,50,0,12,97,50,370,185,347,183,0,12,0,12,0,12,0,12,9,13,14,20,0,12,14,20
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",7923,501,7051,464,5873,474,232,120,0,17,433,159,0,17,0,17,513,230,0,17,513,230,872,235,758,227,0,17,0,17,0,17,0,17,75,92,39,45,0,17,39,45
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3761,426,3274,372,2660,380,197,100,0,12,328,200,0,12,0,12,89,63,0,12,89,63,487,371,424,371,0,12,0,12,0,12,0,12,19,31,44,42,0,12,44,42
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",5016,281,4634,326,3715,354,452,202,70,89,296,75,0,17,0,17,101,110,0,17,101,110,382,225,310,217,17,29,0,17,0,17,0,17,38,65,17,25,15,25,2,4
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",4950,457,4507,450,3713,469,308,208,0,12,236,84,0,12,0,12,250,152,0,12,250,152,443,210,348,193,0,12,0,12,0,12,0,12,70,87,25,34,25,34,0,12
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",3831,357,3593,355,2873,323,480,204,0,12,206,89,0,12,0,12,34,37,0,12,34,37,238,167,238,167,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7366,621,6652,618,5047,605,714,441,0,17,727,269,0,17,27,45,137,151,0,17,137,151,714,298,345,192,27,48,0,17,0,17,0,17,300,220,42,55,22,37,20,41
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3340,242,3107,247,2517,279,306,123,8,14,171,91,0,12,18,29,87,56,0,12,87,56,233,133,201,129,0,12,8,13,0,12,0,12,24,37,0,12,0,12,0,12
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3250,260,2828,290,2136,210,302,105,38,56,226,117,0,12,11,17,115,81,0,12,115,81,422,276,373,268,0,12,0,12,0,12,0,12,49,54,0,12,0,12,0,12
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",6268,483,5945,478,4881,371,692,349,0,17,134,80,0,17,0,17,238,173,0,17,238,173,323,182,260,191,0,17,0,17,0,17,0,17,23,38,40,64,0,17,40,64
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",4455,330,4162,317,1200,164,2834,295,0,12,26,32,0,12,14,21,88,49,0,12,88,49,293,210,113,95,135,181,0,12,0,12,0,12,23,28,22,24,22,24,0,12
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3039,288,2631,238,1136,152,1385,193,0,12,35,35,0,12,0,12,75,55,4,11,71,55,408,249,203,121,12,19,0,12,0,12,10,16,170,218,13,20,0,12,13,20
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",4059,376,2877,365,256,94,2392,344,11,21,14,19,0,12,23,36,181,198,11,17,170,197,1182,277,120,92,151,137,0,12,0,12,0,12,891,307,20,21,10,14,10,16
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5682,632,3876,506,205,99,3540,465,41,64,78,109,0,17,0,17,12,18,0,17,12,18,1806,658,697,483,222,258,0,17,0,17,0,17,887,422,0,17,0,17,0,17
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",3981,391,3325,290,430,139,2652,317,0,12,166,168,0,12,21,34,56,46,0,12,56,46,656,298,317,167,45,69,0,12,0,12,0,12,294,300,0,12,0,12,0,12
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2343,220,1917,242,200,76,1619,245,3,7,22,16,0,12,0,12,73,48,0,12,73,48,426,142,202,165,56,72,0,12,0,12,0,12,121,107,47,44,5,9,42,42
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",2959,346,2076,342,618,177,1273,249,5,8,21,25,0,12,120,176,39,34,6,10,33,32,883,228,151,100,88,115,72,102,0,12,0,12,572,223,0,12,0,12,0,12
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",3934,541,3116,495,779,206,2131,468,0,12,73,60,0,12,49,47,84,59,6,9,78,59,818,298,322,201,0,12,0,12,0,12,0,12,464,301,32,43,22,41,10,15
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",5660,630,4020,486,361,189,3436,469,0,17,190,135,0,17,0,17,33,47,0,17,33,47,1640,495,74,106,418,412,309,467,0,17,0,17,839,654,0,17,0,17,0,17
